features.0.weight	(64, 3, 3, 3)
features.0.bias	(64,)
features.1.weight	(64,)
features.1.bias	(64,)
features.1._mean	(64,)
features.1._variance	(64,)
features.3.weight	(64, 64, 3, 3)
features.3.bias	(64,)
features.4.weight	(64,)
features.4.bias	(64,)
features.4._mean	(64,)
features.4._variance	(64,)
features.7.weight	(128, 64, 3, 3)
features.7.bias	(128,)
features.8.weight	(128,)
features.8.bias	(128,)
features.8._mean	(128,)
features.8._variance	(128,)
features.10.weight	(128, 128, 3, 3)
features.10.bias	(128,)
features.11.weight	(128,)
features.11.bias	(128,)
features.11._mean	(128,)
features.11._variance	(128,)
features.14.weight	(256, 128, 3, 3)
features.14.bias	(256,)
features.15.weight	(256,)
features.15.bias	(256,)
features.15._mean	(256,)
features.15._variance	(256,)
features.17.weight	(256, 256, 3, 3)
features.17.bias	(256,)
features.18.weight	(256,)
features.18.bias	(256,)
features.18._mean	(256,)
features.18._variance	(256,)
features.20.weight	(256, 256, 3, 3)
features.20.bias	(256,)
features.21.weight	(256,)
features.21.bias	(256,)
features.21._mean	(256,)
features.21._variance	(256,)
features.23.weight	(256, 256, 3, 3)
features.23.bias	(256,)
features.24.weight	(256,)
features.24.bias	(256,)
features.24._mean	(256,)
features.24._variance	(256,)
features.27.weight	(512, 256, 3, 3)
features.27.bias	(512,)
features.28.weight	(512,)
features.28.bias	(512,)
features.28._mean	(512,)
features.28._variance	(512,)
features.30.weight	(512, 512, 3, 3)
features.30.bias	(512,)
features.31.weight	(512,)
features.31.bias	(512,)
features.31._mean	(512,)
features.31._variance	(512,)
features.33.weight	(512, 512, 3, 3)
features.33.bias	(512,)
features.34.weight	(512,)
features.34.bias	(512,)
features.34._mean	(512,)
features.34._variance	(512,)
features.36.weight	(512, 512, 3, 3)
features.36.bias	(512,)
features.37.weight	(512,)
features.37.bias	(512,)
features.37._mean	(512,)
features.37._variance	(512,)
features.40.weight	(512, 512, 3, 3)
features.40.bias	(512,)
features.41.weight	(512,)
features.41.bias	(512,)
features.41._mean	(512,)
features.41._variance	(512,)
features.43.weight	(512, 512, 3, 3)
features.43.bias	(512,)
features.44.weight	(512,)
features.44.bias	(512,)
features.44._mean	(512,)
features.44._variance	(512,)
features.46.weight	(512, 512, 3, 3)
features.46.bias	(512,)
features.47.weight	(512,)
features.47.bias	(512,)
features.47._mean	(512,)
features.47._variance	(512,)
features.49.weight	(512, 512, 3, 3)
features.49.bias	(512,)
features.50.weight	(512,)
features.50.bias	(512,)
features.50._mean	(512,)
features.50._variance	(512,)
classifier.0.weight	(25088, 4096)
classifier.0.bias	(4096,)
classifier.3.weight	(4096, 4096)
classifier.3.bias	(4096,)
classifier.6.weight	(4096, 1000)
classifier.6.bias	(1000,)
